ID_INGREDIENT;ID_COCKTAIL;Quantite;Ordre
181;1;15;4
167;1;15;3
166;1;15;2
218;1;2;1
136;1142;2;6
176;1142;25;5
56;2;4;3
172;3;10;5
178;3;5;4
166;3;20;3
162;3;20;2
35;3;3;1
101;636;8;11
171;4;15;5
181;4;15;4
166;4;15;3
874;4;2;2
169;5;15;4
275;5;3;3
237;5;1;2
53;5;2;1
387;1149;1;8
448;1149;1;7
171;6;20;5
167;6;20;4
181;6;20;3
706;7;10;3
166;7;30;2
177;7;20;1
98;443;2;6
860;660;1;6
171;8;20;5
181;8;15;4
167;8;10;3
50;8;2;2
134;1370;2;6
67;8;2;1
387;1148;1;7
16;1149;1;6
178;9;10;4
180;9;20;3
168;10;15;4
177;10;25;3
176;10;15;2
438;1078;1;7
67;10;4;1
16;1148;1;6
448;1148;1;5
181;11;20;5
166;11;20;4
171;11;10;3
167;12;15;3
181;12;33;2
43;12;3;1
171;13;10;5
167;13;15;4
181;13;20;3
50;13;2;2
44;13;2;1
172;14;15;5
181;14;20;4
162;14;10;3
55;14;2;2
67;14;2;1
177;15;25;3
168;15;25;2
706;15;10;1
68;539;2;5
171;16;30;3
275;739;3;4
175;16;40;2
416;739;5;3
32;16;4;1
171;17;15;5
167;17;15;4
181;17;15;3
67;17;2;2
32;17;2;1
171;18;10;5
166;18;20;4
459;18;15;3
651;1076;1;7
39;18;4;2
218;18;4;1
166;19;15;4
181;19;15;3
177;19;15;2
218;19;4;1
167;20;15;4
172;20;15;3
166;20;20;2
35;20;4;1
176;21;15;4
167;21;15;3
166;21;20;2
40;21;4;1
115;453;4;2
171;22;10;4
176;22;15;3
166;22;25;2
35;22;4;1
387;1150;1;6
448;1150;1;5
171;23;15;3
56;1377;2;3
387;1147;1;7
175;24;15;3
136;910;2;3
459;25;10;4
175;25;20;3
162;25;20;2
68;25;4;1
176;26;15;4
167;26;20;3
178;26;10;2
49;26;4;1
53;40;3;3
167;27;20;5
171;27;20;4
459;27;20;3
877;28;1;3
175;28;20;2
132;817;4;1
83;1527;1;1
68;28;4;1
30;29;4;4
459;29;20;3
166;29;20;2
162;29;10;1
706;30;5;3
181;30;25;2
167;30;25;1
706;905;10;4
181;31;15;3
859;31;1;2
60;31;4;1
448;1147;1;6
448;492;1;5
861;32;1;4
47;32;4;3
177;32;25;2
275;32;4;1
166;1146;25;3
16;1147;1;5
162;33;10;5
166;33;25;4
167;33;15;3
459;34;15;3
166;34;33;2
44;34;3;1
862;35;1;4
177;35;15;3
166;35;15;2
68;35;2;1
448;1443;1;5
30;36;4;4
168;36;15;3
166;36;20;2
162;36;10;1
162;37;25;5
154;37;2;4
181;38;15;4
166;38;20;3
180;38;15;2
55;38;2;1
159;39;1;3
181;39;15;2
50;39;4;1
175;40;30;2
867;40;40;1
459;47;10;3
172;41;20;4
154;41;2;3
275;41;4;2
458;41;4;1
237;719;1;6
275;42;4;4
53;42;2;3
32;42;2;2
21;42;1;1
167;43;15;4
176;43;15;3
459;43;10;2
43;43;4;1
752;44;1;4
154;44;2;3
275;44;3;2
57;44;3;1
166;45;30;4
181;45;15;3
133;1076;3;4
39;45;4;2
47;45;4;1
166;46;15;4
175;46;25;3
171;46;10;2
47;46;4;1
178;47;20;2
867;47;30;1
868;1068;1;2
158;48;2;3
168;48;25;2
47;48;4;1
172;49;15;3
43;1075;2;2
237;49;1;2
46;49;2;1
172;50;25;3
237;50;1;2
68;50;3;1
40;1234;30;1
459;51;15;3
178;51;25;2
46;51;4;1
167;52;20;4
176;52;20;3
180;52;20;2
53;52;4;1
48;53;4;4
172;53;30;3
171;53;10;2
162;53;10;1
459;54;20;4
180;54;10;3
178;54;10;2
57;54;4;1
48;55;4;3
176;55;20;2
50;847;2;1
154;55;2;1
154;56;2;2
35;56;4;1
15;1150;8;1
169;57;15;3
159;57;1;2
706;57;5;1
162;58;15;3
150;58;2;2
235;58;3;1
48;59;4;3
459;59;20;2
175;59;20;1
571;916;2;1
166;60;40;3
68;60;2;2
35;60;2;1
102;109;2;1
17;61;2;1
677;835;1;1
13;862;3;1
62;1266;2;1
102;1267;2;3
646;1267;2;2
277;1267;5;1
68;63;4;1
172;63;20;3
150;63;2;2
180;64;20;3
158;64;2;2
33;64;4;1
438;1267;1;8
651;1267;1;7
98;1267;2;6
17;1268;1;4
175;66;20;3
159;66;1;2
38;66;4;1
30;67;2;5
166;67;30;3
180;67;30;3
40;67;2;2
175;68;15;3
411;68;2;2
35;68;4;1
891;960;1;9
446;960;1;8
177;69;20;3
651;960;1;7
17;69;2;2
52;69;4;1
166;70;20;3
438;708;1;8
17;70;2;2
32;70;4;1
162;1309;15;5
181;342;15;3
171;71;5;4
17;71;2;3
181;72;20;3
17;72;2;2
171;1264;10;14
33;72;4;1
175;73;15;5
17;73;2;4
275;73;4;3
50;73;2;2
68;73;2;1
176;74;25;4
17;74;2;3
275;74;3;2
52;74;3;1
868;75;1;3
17;75;2;2
38;75;4;1
98;1308;3;5
448;668;1;8
171;76;10;4
162;76;30;3
172;1266;25;6
171;1083;4;7
76;1266;3;5
646;1266;2;4
2;1266;2;3
133;1266;3;2
30;78;2;4
166;78;50;3
40;78;2;2
460;1083;1;6
275;78;4;1
448;79;1;4
16;79;1;3
48;369;2;1
140;79;2;2
166;80;15;4
181;80;15;3
706;80;10;2
40;80;2;1
862;81;1;4
166;81;25;3
133;1083;3;4
40;81;2;2
459;1082;10;5
11;1149;2;5
64;1149;3;4
40;82;3;3
23;83;10;7
17;83;1;6
130;83;3;5
76;83;3;4
122;83;2;3
136;83;2;2
35;83;2;1
134;84;2;7
23;84;15;6
17;84;1;5
139;84;2;4
109;84;2;3
82;84;2;2
235;84;2;1
134;85;2;5
17;85;1;4
39;85;2;3
109;85;3;2
84;85;5;1
154;86;1;6
76;86;5;5
133;86;3;4
111;86;2;3
108;86;2;2
35;86;2;1
166;87;5;7
17;87;1;6
677;862;1;4
571;865;10;1
275;87;4;5
133;87;3;4
76;87;4;3
111;87;1;2
108;87;2;1
134;88;2;6
17;88;1;5
76;88;4;4
84;88;4;3
82;88;2;2
32;88;2;1
136;89;2;6
154;89;1;5
132;89;3;4
139;89;3;3
96;89;1;2
49;89;2;1
17;90;1;4
109;90;3;3
130;90;3;2
111;90;3;1
17;91;1;6
39;91;2;5
216;1082;1;3
646;91;2;4
132;91;3;3
133;91;5;2
110;91;2;1
30;92;1;6
166;92;33;5
27;92;3;4
82;92;3;3
130;92;2;2
136;92;2;1
134;93;2;8
23;93;25;7
17;93;1;6
110;93;2;5
76;93;2;4
18;93;2;3
132;93;2;2
35;93;2;1
177;94;33;7
109;94;2;7
130;94;2;6
132;94;2;5
82;94;2;4
76;94;2;3
27;94;2;2
225;94;2;1
17;95;1;8
134;95;2;7
23;95;15;6
76;95;3;5
82;95;2;4
96;95;1;3
2;95;2;2
55;95;2;1
271;1082;7;2
98;96;2;6
166;96;23;5
132;96;5;4
15;96;3;3
275;96;3;2
43;96;2;1
269;97;2;6
166;97;33;5
113;97;2;4
102;97;3;3
18;97;3;2
111;97;2;1
102;1407;2;2
177;98;33;5
275;98;4;4
169;104;3;4
76;98;6;3
122;98;4;2
44;98;2;1
166;99;33;4
103;99;4;3
109;99;4;2
1;99;4;1
16;100;1;6
140;100;1;5
133;1073;2;2
271;100;2;4
637;100;2;3
106;100;2;2
76;100;3;1
103;101;5;3
158;101;1;2
109;101;5;1
172;102;66;8
98;102;2;7
84;102;4;6
123;102;3;5
134;102;3;4
136;102;3;3
76;102;3;2
35;102;3;1
82;103;4;3
13;103;4;2
83;103;4;1
17;104;1;3
76;104;10;2
43;104;2;1
171;105;20;6
76;105;6;5
110;105;2;4
108;105;2;3
133;105;2;2
39;105;2;1
1;863;15;1
136;868;4;2
133;106;8;6
76;106;8;5
132;106;4;4
27;106;3;3
96;106;2;2
76;916;3;2
235;106;3;1
171;107;5;4
17;107;1;3
76;107;10;2
35;107;2;1
166;108;33;8
177;108;33;7
130;108;3;6
136;108;3;5
76;108;3;4
18;108;3;3
132;108;3;2
1;108;3;1
166;109;33;6
27;109;4;5
130;109;4;4
96;109;2;3
1;109;2;2
868;61;1;2
172;110;25;7
76;110;4;6
132;110;2;5
130;110;2;4
123;110;1;3
100;110;2;2
35;110;2;1
13;111;2;1
103;111;2;7
166;111;33;6
76;111;5;5
132;111;2;4
109;111;2;3
28;111;2;2
23;112;15;7
17;112;1;6
132;112;3;5
133;112;3;4
123;112;2;3
130;112;3;2
43;112;2;1
23;113;15;5
17;113;1;4
76;113;7;3
133;113;3;2
68;113;3;1
17;114;1;5
132;114;4;4
109;114;3;3
102;114;2;2
43;114;2;1
171;115;25;7
39;115;2;6
166;121;33;4
43;115;4;5
27;115;5;4
76;115;5;3
18;115;2;2
132;115;2;1
98;116;2;7
181;116;33;6
27;116;3;5
76;116;3;4
113;116;2;3
130;116;3;2
47;116;2;1
181;117;20;7
96;117;2;6
130;117;2;5
27;117;4;4
82;117;4;3
46;117;2;2
49;117;2;1
167;118;15;7
180;118;15;6
84;118;2;5
133;118;3;4
27;118;3;3
113;118;2;2
55;118;2;1
98;119;2;6
181;119;33;5
76;119;5;4
132;119;3;3
101;119;2;2
130;119;2;1
171;120;5;6
17;120;1;5
108;120;2;4
116;120;2;3
76;120;5;2
35;120;2;1
130;121;5;3
109;121;5;2
111;121;2;1
448;521;1;6
159;122;1;6
704;122;2;5
27;122;4;4
571;122;3;3
133;122;2;2
67;122;2;1
154;123;1;7
136;123;2;6
76;123;2;5
102;123;2;4
101;123;2;3
130;123;2;2
44;123;2;1
98;124;1;7
158;124;1;6
102;124;2;5
46;124;2;4
76;124;6;3
119;124;1;2
110;124;1;1
237;1082;1;4
17;125;1;7
130;125;2;6
76;125;5;5
122;125;2;4
133;125;3;3
39;125;2;2
68;125;2;1
134;126;2;6
17;126;1;5
76;126;5;4
275;1081;4;5
133;126;3;3
275;126;4;2
111;126;2;1
30;127;2;6
177;127;33;5
27;127;4;4
18;127;2;3
76;127;4;2
130;127;2;1
158;128;1;5
171;134;10;6
39;128;2;4
2;128;2;3
132;128;6;2
47;128;2;1
171;129;20;6
76;129;3;5
136;129;2;4
130;129;3;3
102;129;2;2
44;129;2;1
133;130;4;3
13;130;3;2
136;130;2;1
12;131;2;4
878;131;1;3
106;131;5;2
271;131;5;1
