ID;Nom;Categorie;Photo;Reference;EstDansCarte;Remarque;Sync_Prix;EstCocktail;Quantite;ID_VERRE;DateCreation;estBrochette;Ref_Lettre;Ref_Chiffre;Ref_DerniereLettre
1;Olive et Tom;Mocktail;0x;A85;1;verre pot de chambre ;10;1;100;8;38869;1;A;85;
2;bois de Quat'sou;Mocktail;0x;A10;1;VERRE pot de chambre large ;10;1;100;8;35582;1;A;10;
3;Dingo;Mocktail;0x;A11;1;verre urne;10;1;100;8;39142;1;A;11;
4;Bob l'éponge ;Mocktail;0x;A12;1;verre boule sa;10;1;100;8;39142;1;A;12;
5;Virgin Moscow;Mocktail;0x;H20A;1;"VERRE skull

";10;1;100;8;38353;1;H;20;A
6;Mickey;Mocktail;0x;A14;1;"VERRE boule 

";10;1;100;8;35947;1;A;14;
7;Droopy;Mocktail;0x;A15;1;verre boule;10;1;100;8;38504;1;A;15;
8;Les chevaliers du zodiaque;Mocktail;0x;A16;1;"VERRE diamant grand 

";10;1;100;8;33725;1;A;16;
9;Full metal alchimist;Mocktail;0x;A17;1;"VERRE boule sa

";10;1;100;8;35796;1;A;17;
10;Rémi sans famille ;Mocktail;0x;A18;1;verre strier large ;10;1;100;8;39569;1;A;18;
11;Beetlejuice;Mocktail;0x;A19;1;"VERRE strier large 

";10;1;100;8;37408;1;A;19;
12;Sam le pirate;Mocktail;0x;A64;1;verre pot de chambre ;10;1;100;8;35674;1;A;64;
13;Astro Boy;Mocktail;0x;A20;1;"VERRE aquarium carre

";10;1;100;8;36312;1;A;20;
14;Le collège Fou, fou, fou;Mocktail;0x;A21;1;"VERRE aquarium carre

";10;1;100;8;40848;1;A;21;
15;Les mysterieuses cites d or;Mocktail;0x;A22;1;verre urne ;10;1;100;8;36647;1;A;22;
16;Jayce et les conquérants de la lumiere;Mocktail;0x;A23;1;verre urne ;10;1;100;8;37408;1;A;23;
17;Goldorak;Mocktail;0x;A24;1;verre strier large ;10;1;100;8;39600;1;A;24;
18;Tom & Jerry;Mocktail;0x;A25;1;verre boule sa;10;1;100;8;39600;1;A;25;
19;Madame pepperpote ;Mocktail;0x;A26;1;"Verre boule sa

";10;1;100;8;39600;1;A;26;
20;Pluto;Mocktail;0x;A27;1;verre strier large ;10;1;100;8;39234;1;A;27;
21;Pokemon;Mocktail;0x;A28;1;verre strier ;10;1;100;8;39234;1;A;28;
22;Les 3 mousquetaires ;Mocktail;0x;A29;1;verre urne ;10;1;100;8;38139;1;A;29;
23;P.P. le putois;Mocktail;0x;A7;1;"Verre strier large 

";10;1;100;8;36069;1;A;7;
24;Ranma1/2;Mocktail;0x;A30;1;verre diamant plat + jarritos retournee ;10;1;100;8;38504;1;A;30;
25;Capitain Flam;Mocktail;0x;A31;1;verre pot de chambre ;10;1;100;8;38504;1;A;31;
26;Crazcoucass;Mocktail;0x;A32;1;verre organique long ;10;1;100;8;38108;1;A;32;
27;Pierre et le loup;Mocktail;0x;A33;1;"Verre boule

";10;1;100;8;38504;1;A;33;
28;ice Age ;Mocktail;0x;A34;1;verre diamant court + jarritos retournée ;10;1;100;8;38108;1;A;34;
